"long","lat","order","hole","piece","group","geo_dma"
-68.65411218,44.00593474,96,FALSE,"4","500.4",500
-69.94859541,43.76744572,97,FALSE,"5","500.5",500
-69.94281647,43.8320365,98,FALSE,"5","500.5",500
-69.89080598,43.85687911,99,FALSE,"5","500.5",500
-69.89080598,43.78235129,100,FALSE,"5","500.5",500
-69.91392176,43.83700502,101,FALSE,"5","500.5",500
-69.94859541,43.76744572,102,FALSE,"5","500.5",500
-70.12774265,43.70782347,103,FALSE,"6","500.6",500
-70.12774265,43.74508738,104,FALSE,"6","500.6",500
-70.09884793,43.75999294,105,FALSE,"6","500.6",500
-70.10462687,43.72521329,106,FALSE,"6","500.6",500
-70.12774265,43.70782347,107,FALSE,"6","500.6",500
-69.65964826,43.78731981,108,FALSE,"7","500.7",500
-69.68276404,43.82209946,109,FALSE,"7","500.7",500
-69.68854298,43.82209946,110,FALSE,"7","500.7",500
-69.66542721,43.85191059,111,FALSE,"7","500.7",500
-69.65964826,43.78731981,112,FALSE,"7","500.7",500
-70.00638484,43.71776051,113,FALSE,"8","500.8",500
-69.97171119,43.77489851,114,FALSE,"8","500.8",500
-69.94859541,43.79477259,115,FALSE,"8","500.8",500
-69.99482696,43.72272903,116,FALSE,"8","500.8",500
-70.00638484,43.71776051,117,FALSE,"8","500.8",500
-70.16819525,43.67552808,118,FALSE,"9","500.9",500
-70.16819525,43.69291791,119,FALSE,"9","500.9",500
-70.13352159,43.70285495,120,FALSE,"9","500.9",500
-70.15085842,43.68298086,121,FALSE,"9","500.9",500
-70.16819525,43.67552808,122,FALSE,"9","500.9",500
-69.55562729,43.8320365,123,FALSE,"10","500.10",500
-69.56718518,43.84942633,124,FALSE,"10","500.10",500
-69.54984835,43.86681615,125,FALSE,"10","500.10",500
-69.5440694,43.85936337,126,FALSE,"10","500.10",500
-69.55562729,43.8320365,127,FALSE,"10","500.10",500
-68.90260673,43.84942633,128,FALSE,"11","500.11",500
-68.90260673,43.86930041,129,FALSE,"11","500.11",500
-68.89104885,43.87675319,130,FALSE,"11","500.11",500
-68.8852699,43.85687911,131,FALSE,"11","500.11",500
-68.90260673,43.84942633,132,FALSE,"11","500.11",500
-70.11618476,43.68298086,133,FALSE,"12","500.12",500
-70.11040582,43.69540217,134,FALSE,"12","500.12",500
-70.09306899,43.71030773,135,FALSE,"12","500.12",500
-70.09306899,43.69291791,136,FALSE,"12","500.12",500
-70.11618476,43.68298086,137,FALSE,"12","500.12",500
-70.19131102,43.65068548,138,FALSE,"13","500.13",500
-70.19708996,43.66310678,139,FALSE,"13","500.13",500
-70.18553208,43.67304382,140,FALSE,"13","500.13",500
-70.17397419,43.66310678,141,FALSE,"13","500.13",500
-70.19131102,43.65068548,142,FALSE,"13","500.13",500
-69.32446957,43.75502442,143,FALSE,"14","500.14",500
-69.31869063,43.77241425,144,FALSE,"14","500.14",500
-69.3013538,43.76992999,145,FALSE,"14","500.14",500
-69.31291168,43.75750868,146,FALSE,"14","500.14",500
-69.32446957,43.75502442,147,FALSE,"14","500.14",500
-70.15085842,43.74508738,148,FALSE,"15","500.15",500
-70.14507948,43.77241425,149,FALSE,"15","500.15",500
-70.1219637,43.77241425,150,FALSE,"15","500.15",500
-70.13352159,43.76992999,151,FALSE,"15","500.15",500
-70.15085842,43.74508738,152,FALSE,"15","500.15",500
-69.15110128,43.98606066,153,FALSE,"16","500.16",500
-69.15110128,43.9959977,154,FALSE,"16","500.16",500
-69.13954339,44.00096622,155,FALSE,"16","500.16",500
-69.13376445,43.9959977,156,FALSE,"16","500.16",500
-69.15110128,43.98606066,157,FALSE,"16","500.16",500
-70.20864785,43.63329565,158,FALSE,"17","500.17",500
-70.20864785,43.64074843,159,FALSE,"17","500.17",500
-70.20286891,43.64820121,160,FALSE,"17","500.17",500
-70.19131102,43.64571695,161,FALSE,"17","500.17",500
-70.20864785,43.63329565,162,FALSE,"17","500.17",500
-70.01216379,43.81216242,163,FALSE,"18","500.18",500
-70.01216379,43.82209946,164,FALSE,"18","500.18",500
-69.99482696,43.82458372,165,FALSE,"18","500.18",500
-70.00638484,43.81464668,166,FALSE,"18","500.18",500
-70.01216379,43.81216242,167,FALSE,"18","500.18",500
-70.20286891,43.67304382,168,FALSE,"19","500.19",500
-70.19708996,43.68794938,169,FALSE,"19","500.19",500
-70.19131102,43.68794938,170,FALSE,"19","500.19",500
-70.19708996,43.67304382,171,FALSE,"19","500.19",500
-70.20286891,43.67304382,172,FALSE,"19","500.19",500
-69.91392176,43.77489851,173,FALSE,"20","500.20",500
-69.9197007,43.78235129,174,FALSE,"20","500.20",500
-69.91392176,43.78980407,175,FALSE,"20","500.20",500
-69.90814281,43.77986703,176,FALSE,"20","500.20",500
-69.91392176,43.77489851,177,FALSE,"20","500.20",500
-70.7403106,43.07433701,178,FALSE,"21","500.21",500
-70.74608955,43.08178979,179,FALSE,"21","500.21",500
-70.72297378,43.07930553,180,FALSE,"21","500.21",500
-70.72875272,43.07682127,181,FALSE,"21","500.21",500
-70.7403106,43.07433701,182,FALSE,"21","500.21",500
-69.63075355,43.80222537,183,FALSE,"22","500.22",500
-69.63653249,43.80967816,184,FALSE,"22","500.22",500
-69.63075355,43.81464668,185,FALSE,"22","500.22",500
-69.62497461,43.80719389,186,FALSE,"22","500.22",500
-69.63075355,43.80222537,187,FALSE,"22","500.22",500
-69.11642762,43.9959977,188,FALSE,"23","500.23",500
-69.12798551,43.9959977,189,FALSE,"23","500.23",500
-69.12798551,44.00096622,190,FALSE,"23","500.23",500
-69.11064868,44.00096622,191,FALSE,"23","500.23",500
-69.11642762,43.9959977,192,FALSE,"23","500.23",500
-69.70587981,43.83700502,193,FALSE,"24","500.24",500
-69.71165875,43.84942633,194,FALSE,"24","500.24",500
-69.70010087,43.85191059,195,FALSE,"24","500.24",500
-69.70587981,43.84197354,196,FALSE,"24","500.24",500
-69.70587981,43.83700502,197,FALSE,"24","500.24",500
-70.13352159,43.75254016,198,FALSE,"25","500.25",500
-70.12774265,43.7624772,199,FALSE,"25","500.25",500
-70.11618476,43.76496146,200,FALSE,"25","500.25",500
-70.1219637,43.75999294,201,FALSE,"25","500.25",500
-70.13352159,43.75254016,202,FALSE,"25","500.25",500
-69.88502704,43.80719389,203,FALSE,"26","500.26",500
-69.88502704,43.8196152,204,FALSE,"26","500.26",500
-69.8792481,43.82209946,205,FALSE,"26","500.26",500
-69.8792481,43.81464668,206,FALSE,"26","500.26",500
-69.88502704,43.80719389,207,FALSE,"26","500.26",500
-70.23754256,43.68546512,208,FALSE,"27","500.27",500
-70.23176362,43.69291791,209,FALSE,"27","500.27",500
-70.22598468,43.69043365,210,FALSE,"27","500.27",500
-70.22598468,43.68794938,211,FALSE,"27","500.27",500
-70.23754256,43.68546512,212,FALSE,"27","500.27",500
-70.20864785,43.66310678,213,FALSE,"28","500.28",500
-70.21442679,43.66559104,214,FALSE,"28","500.28",500
-70.20864785,43.67055956,215,FALSE,"28","500.28",500
-70.20286891,43.66559104,216,FALSE,"28","500.28",500
-70.20864785,43.66310678,217,FALSE,"28","500.28",500
-69.67698509,43.85687911,218,FALSE,"29","500.29",500
-69.68276404,43.85936337,219,FALSE,"29","500.29",500
-69.68276404,43.86681615,220,FALSE,"29","500.29",500
-69.67698509,43.86184763,221,FALSE,"29","500.29",500
-69.67698509,43.85687911,222,FALSE,"29","500.29",500
-70.07573216,43.79725685,223,FALSE,"30","500.30",500
-70.06417427,43.80470963,224,FALSE,"30","500.30",500
-70.06417427,43.79974111,225,FALSE,"30","500.30",500
-70.07573216,43.79725685,226,FALSE,"30","500.30",500
-69.56718518,43.82458372,227,FALSE,"31","500.31",500
-69.56718518,43.8320365,228,FALSE,"31","500.31",500
-69.56140623,43.82955224,229,FALSE,"31","500.31",500
-69.56718518,43.82458372,230,FALSE,"31","500.31",500
-69.68276404,43.80967816,231,FALSE,"32","500.32",500
-69.68854298,43.81713094,232,FALSE,"32","500.32",500
-69.68276404,43.81713094,233,FALSE,"32","500.32",500
-69.68276404,43.80967816,234,FALSE,"32","500.32",500
-69.30250959,43.95177786,235,FALSE,"33","500.33",500
-69.29557486,43.95624953,236,FALSE,"33","500.33",500
-69.3013538,43.95128101,237,FALSE,"33","500.33",500
-69.30250959,43.95177786,238,FALSE,"33","500.33",500
-74.18456063,39.72306943,239,FALSE,"1","501.1",501
-74.16144486,39.71313238,240,FALSE,"1","501.1",501
-74.34059209,39.57649805,241,FALSE,"1","501.1",501
-74.30013949,39.53923414,242,FALSE,"1","501.1",501
-74.33481315,39.50942301,243,FALSE,"1","501.1",501
-74.41571835,39.55165544,244,FALSE,"1","501.1",501
-74.39260258,39.77275464,245,FALSE,"1","501.1",501
-74.61220241,40.18265764,246,FALSE,"1","501.1",501
-74.47928672,40.27209102,247,FALSE,"1","501.1",501
-74.75089704,40.42363092,248,FALSE,"1","501.1",501
-74.94160216,40.34165032,249,FALSE,"1","501.1",501
-75.06295996,40.42114666,250,FALSE,"1","501.1",501
-75.06873891,40.54287543,251,FALSE,"1","501.1",501
-75.19587565,40.57517082,252,FALSE,"1","501.1",501
-75.19587565,40.75155332,253,FALSE,"1","501.1",501
-75.05140208,40.86831357,254,FALSE,"1","501.1",501
-75.13230728,40.99004234,255,FALSE,"1","501.1",501
-74.96471793,41.09438129,256,FALSE,"1","501.1",501
-75.15542305,41.14903502,257,FALSE,"1","501.1",501
-75.12652834,41.25337397,258,FALSE,"1","501.1",501
-75.35768606,41.23846841,259,FALSE,"1","501.1",501
-75.35190711,41.36764996,260,FALSE,"1","501.1",501
-75.26522297,41.37510274,261,FALSE,"1","501.1",501
-75.04562314,41.61607602,262,FALSE,"1","501.1",501
-75.07451785,41.81481687,263,FALSE,"1","501.1",501
